notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/dw_card_aging_period_fct.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,,
./dw_card/pro_acc_total_bal_start_of_day.ipynb,bo_acc_balance (vc_cms.db),PARQUET,pro_acc_total_bal_start_of_day (vc_data_dwh.db),PARQUET
./dw_card/pro_acc_total_bal_start_of_day.ipynb,gl_in_stg (vc_data_dwh.db),PARQUET,,
./dw_card/dw_day_dim.ipynb,,,dw_day_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_card_loan_payment_dim.ipynb,bo_crd_payment (vc_cms.db),PARQUET,dw_card_loan_payment_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_card_loan_payment_dim.ipynb,bo_opr_operation (vc_cms.db),PARQUET,,
./dw_card/dw_gl_in_stg.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,gl_in_stg (vc_data_dwh.db),PARQUET
./dw_card/dw_gl_in_stg.ipynb,dw_card_dim (vc_data_dwh.db),PARQUET,rls_balance_type_raw (vc_data_dwh.db),PARQUET
./dw_card/dw_gl_in_stg.ipynb,dw_customer_dim (vc_data_dwh.db),PARQUET,tmp_dw_write_off_cms_account_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_gl_in_stg.ipynb,tmp_account_aging_period_end_day_backup (vc_data_dwh.db),PARQUET,dw_tcc_cms_account_dim_raw (vc_data_dwh.db),PARQUET
./dw_card/dw_gl_in_stg.ipynb,bo_scr_bucket (vc_cms.db),PARQUET,,
./dw_card/dw_gl_in_stg.ipynb,dw_account_balance_eod_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_gl_in_stg.ipynb,dw_account_term_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_gl_in_stg.ipynb,rls_balance_type (vc_data_dwh.db),PARQUET,,
./dw_card/dw_gl_in_stg.ipynb,dw_write_off_cms_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_gl_in_stg.ipynb,dw_tcc_cms_account_dim (vc_data_dwh.db),PARQUET,,
